n_estimators,contamination,max_features,f1,precision,recall,auc_roc,train_time,inf_time
50,0.15,0.5,0.684403138548965,0.7832368171094157,0.6077175673466961,0.8524291279171097,0.2874939441680908,2.5240061283111572
200,0.15,0.5,0.6267313454728328,0.7598604401048393,0.533296682070103,0.8552373923907757,1.0851950645446777,10.016887903213501
50,0.15,1.0,0.6220286940879529,0.7574803552688832,0.5276712084515832,0.8432702632482422,0.18253493309020996,2.288935899734497
300,0.15,0.5,0.6196525060636938,0.755960837341458,0.5249907133623571,0.8530100464853579,1.6329319477081299,15.231503009796143
100,0.15,0.5,0.6111957517649489,0.7528202764175314,0.5144202909317841,0.8476939550600681,0.5469040870666504,5.014449834823608
300,0.15,1.0,0.608817604790631,0.7518564464557161,0.5115050296429473,0.8428052354315866,1.0487689971923828,13.680640935897827
200,0.15,1.0,0.5869345758802671,0.7419357768584157,0.4855054159670733,0.8352485965945275,0.7050457000732422,9.076286792755127
100,0.15,1.0,0.5842758074816288,0.7402251697889602,0.4826020415744194,0.8325446645407393,0.35710906982421875,4.565181255340576
300,0.1,0.5,0.5773439057974455,0.7998789601094621,0.4516812528788577,0.8530100464853579,1.6223318576812744,15.089884996414185
200,0.1,0.5,0.5764345859230959,0.7997362938741067,0.4506144039464495,0.8552373923907757,1.113346815109253,10.040756940841675
300,0.15,0.7,0.5632681556588343,0.7314991503137668,0.45794861889124977,0.813830824962673,1.864555835723877,16.122510194778442
200,0.15,0.7,0.5596345399328134,0.7294031140629401,0.45397245211809634,0.7983788956133508,1.527040958404541,11.335769891738892
100,0.1,0.5,0.5510548637447518,0.788975279106858,0.42338152479160784,0.8476939550600681,0.5433001518249512,5.01481294631958
100,0.15,0.7,0.5413423393849698,0.720042627091885,0.4337052941263874,0.7548665380978798,0.615440845489502,5.285832166671753
300,0.1,1.0,0.5323523479221296,0.780536126520346,0.4039197040162851,0.8428052354315866,1.035125970840454,13.655176877975464
50,0.15,0.7,0.5286706593989966,0.7125214771221412,0.42023744075125186,0.7437690188884231,0.31893014907836914,2.672043800354004
200,0.1,1.0,0.5244549854524896,0.7778277687534328,0.3955929332402193,0.8352485965945275,0.7045779228210449,9.091273069381714
300,0.1,0.7,0.5239458825616113,0.7777719267450705,0.39502830567153535,0.813830824962673,1.8781471252441406,15.91315770149231
50,0.1,1.0,0.49410625223552485,0.7629653533241074,0.36535861279921544,0.8432702632482422,0.18276405334472656,2.289011001586914
50,0.1,0.5,0.48059111461064524,0.7577739522203522,0.35187887252789707,0.8524291279171097,0.2803151607513428,2.543501138687134
50,0.1,0.7,0.4804527124983249,0.7584378786227587,0.351587643571418,0.7437690188884231,0.31749773025512695,2.6755692958831787
100,0.1,1.0,0.4717979040084818,0.7515118053976811,0.3438255003640362,0.8325446645407393,0.3555731773376465,4.5628368854522705
200,0.1,0.7,0.4675945147204696,0.7498950406717397,0.3397096625607346,0.7983788956133508,1.2457940578460693,10.529521226882935
100,0.1,0.7,0.4036197358743964,0.7139904970208915,0.2813271719588119,0.7548665380978798,0.621737003326416,5.268357753753662
300,0.05,0.5,0.3807094586907552,0.8123416031460893,0.24861146193964428,0.8530100464853579,1.6092941761016846,15.124082088470459
200,0.05,0.5,0.34499549605118907,0.795861165403037,0.22023149730316044,0.8552373923907757,1.133547067642212,10.065573930740356
100,0.05,0.5,0.288899856749046,0.7609131261889663,0.17829749929421554,0.8476939550600681,0.5576817989349365,5.013957977294922
